[SKU]	DARM_OPCJE	LICZBA	CENA_KT	ZDJ�CIA	KAT_ALLEGRO_ID	PARAMETRY	FORMAT	CZAS	LICZBA_RODZAJ	KOSZT_POKRYWA	WYSY�KA_H	TYTU�	[TYTUL_PELNY]	[OPIS_SPECYFIKACJA]
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza AEG-Electrolux AJG6899	Ssawka do odkurzacza AEG-Electrolux AJG6899 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: w5lVuo0iKwi5Snn6xCQyQw==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza Panasonic MC 561 N 32mm-38mm	Ssawka do odkurzacza Panasonic MC 561 N (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: XjOr/ncXWOFdzndkv7hnhA==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza Samsung VC6475 (32mm-38mm)	Ssawka do odkurzacza Samsung VC6475 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: KAdHjTN7sqehLa+6QKZ7wA==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza Rotel U65.8 (32mm-38mm)	Ssawka do odkurzacza Rotel U65.8 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: ANFgdb1pyHcb4u8qr0N5Vw==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza SOTECO UFO ex 300 (32mm-38mm)	Ssawka do odkurzacza SOTECO UFO ex 300 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: dmmzUq82hIOP1Dpz+vpC/A==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza Siemens VS55A88/06 32mm-38mm	Ssawka do odkurzacza Siemens VS55A88/06 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: 6MScgPWwqzjzG0wT2NjtLg==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza Quelle 420.042 (32mm-38mm)	Ssawka do odkurzacza Quelle 420.042 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: vAUkC5EtJ4Qs+ptMey1fjw==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza De Sina CH 108 1400 Watt	Ssawka do odkurzacza De Sina CH 108 1400 Watt (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: mVZunmDntwdtSzGGV2ahDw==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza Quelle VS5PR05 (32mm-38mm)	Ssawka do odkurzacza Quelle VS5PR05 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: 1oN0endfTpnEJD32qvp7Yw==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza Severin 7948 (32mm-38mm)	Ssawka do odkurzacza Severin 7948 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: FchYyXF9MK5iqG5AHtT9dA==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza Philips FC9177 (32mm-38mm)	Ssawka do odkurzacza Philips FC9177 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: 3hcwLmLTXKjHasZfHDy93A==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza Quelle 103.313 (32mm-38mm)	Ssawka do odkurzacza Quelle 103.313 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: AzRc6QcfHR8UZ+xoFbtznQ==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza Tristar TXA 1 (32mm-38mm)	Ssawka do odkurzacza Tristar TXA 1 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: CxHPPvQI5V/GOvuFKKB4xg==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do Aeg-Electrolux Progress PC2361 32mm-38mm	Ssawka do odkurzacza Aeg-Electrolux Progress PC2361 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: 1Q2sN6Sn/J1KFwM6zLPtYA==</li></ul>
AFK7	0|0|0	99	62.99	"c:/Users/AGDmaster.com/Downloads/thumbs/5647_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/5647_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/5647_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/5647_3.jpg"	67424	"19955|2|1
22207|3|0,68
25178|2|2"	1	5	0	1	24	Wk�ad filtracyjny Aquaphor K7 (K1-07) Kryszta� HB	Wk�ad filtracyjny Aquaphor K7 (K1-07) Kryszta� HB	<ul><li><b>Producent</b>: Aquaphor</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kolor</b>: Bia�y</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Okres przydatno�ci</b>: 3 miesi�ce</li><li><b>Waga</b>: 681 g</li><li><b>Jednostka</b>: Sztuka</li><li><b>Opakowanie</b>: Pude�ko kartonowe</li><li><b>Rodzaj</b>: Orygina�</li><li><b>W�a�ciwo�ci filtra wody</b>: Niweluje nieprzyjemny smak i zapach chloru, Opracowany specjalnie z my�l� o polskiej wodzie, Wyczuwalnie poprawia smak wody, Zapobiega tworzeniu si� kamienia w urz�dzeniach AGD, Zmniejsza twardo�� wody, Podnosi pH wody</li><li><b>Usuwa z wody</b>: Zanieczyszczenia mechaniczne, Chlor, Metale ci�kie, Osady Wapnia, Pestycydy</li><li><b>Sk�ad filtra</b>: Wk�ad w�glowy z jonami aktywnego srebra</li><li><b>Kod</b>: 94Y3x3KFzv6onfAIn3E2OQ==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza Bosch Super M 720 (32mm-38mm)	Ssawka do odkurzacza Bosch Super M 720 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: hzoroo0oMBxtoT/Chs37kA==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza Princess 099.493 (32mm-38mm)	Ssawka do odkurzacza Princess 099.493 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: Z0N+oDV5daHljNkqX4GniQ==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza Tornado TO486 (32mm-38mm)	Ssawka do odkurzacza Tornado TO486 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: GC/KsZh5jB7NVLUkksLVxQ==</li></ul>
SUNI02	0|0|0	99	39.90	"c:/Users/AGDmaster.com/Downloads/thumbs/3375_0.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_1.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_2.jpg
c:/Users/AGDmaster.com/Downloads/thumbs/3375_3.jpg"	257013	"19665|2|1
22207|3|0,41
25178|2|3"	1	5	0	1	24	Ssawka do odkurzacza LG 567.809 (32mm-38mm)	Ssawka do odkurzacza LG 567.809 (32mm-38mm)	<ul><li><b>Szeroko��</b>: 27 cm</li><li><b>System mocowania</b>: 32mm-38mm</li><li><b>Posiada k�ka</b>: Tak</li><li><b>Uniwersalne mocowanie</b>: Tak</li><li><b>Kolor</b>: Czarny</li><li><b>Ilo�� sztuk</b>: 1</li><li><b>Jednostka</b>: Sztuka</li><li><b>Rodzaj</b>: Zamiennik</li><li><b>Opakowanie</b>: Brak</li><li><b>Waga</b>: 407 g</li><li><b>Producent</b>: Wessper</li><li><b>Gwarancja</b>: 12 miesi�ce</li><li><b>Kod</b>: EGzJfAz7YEwUHtVF2qdCkg==</li></ul>
